product_id,units_sold
13830745.0,5029.0
11959552.0,20.0
11094929.0,7160.0
14237430.0,15526.0
10530411.0,799.0
14209507.0,4.0
12364777.0,61.0
13105720.0,68.0
11994667.0,92.0
10777324.0,2.0
12671621.0,15.0
13116005.0,48.0
11311256.0,4555.0
13947308.0,751.0
11372974.0,2257.0
10529587.0,3992.0
11160113.0,154.0
13528457.0,2318.0
13466685.0,1.0
13011909.0,7.0
13111790.0,24.0
11994408.0,1.0
10530474.0,403.0
11959287.0,262.0
12309350.0,188.0
10957797.0,1097.0
13837621.0,111.0
11372980.0,218.0
11542708.0,207.0
10530635.0,35.0
12513686.0,211.0
13054508.0,122.0
13337804.0,66.0
11346223.0,1.0
11311341.0,19.0
13442768.0,522.0
14209017.0,1.0
10529444.0,7346.0
12847553.0,19.0
11160092.0,5730.0
12526646.0,16.0
13910097.0,11.0
13830746.0,4327.0
13830754.0,4059.0
10530115.0,138.0
11722519.0,1.0
11273303.0,4.0
11418721.0,5.0
12551968.0,23.0
10784520.0,30.0
12041689.0,2678.0
13860366.0,737.0
10529815.0,852.0
12708261.0,326.0
10530065.0,193.0
10961195.0,801.0
12614871.0,2.0
13442769.0,323.0
13661765.0,1162.0
13487329.0,92.0
12714694.0,129.0
12762503.0,5.0
13112258.0,5.0
10529340.0,34.0
12536545.0,261.0
13554723.0,35.0
10530970.0,3721.0
12054230.0,898.0
12855654.0,26.0
12773284.0,11.0
11372981.0,108.0
11376885.0,294.0
13516536.0,499.0
11761476.0,48.0
13977845.0,87.0
11722518.0,1.0
13054460.0,9.0
11314026.0,248.0
10529742.0,5531.0
11311012.0,229.0
12707174.0,139.0
11147247.0,771.0
12899624.0,545.0
11157541.0,945.0
12856648.0,31.0
11175189.0,1427.0
12714692.0,101.0
13830757.0,2646.0
13139414.0,24.0
12226265.0,338.0
12722632.0,608.0
11414215.0,9.0
13869540.0,389.0
13791317.0,185.0
12191275.0,900.0
12796374.0,4.0
10530995.0,1663.0
11985046.0,32.0
10961186.0,9519.0
12293629.0,141.0
12795916.0,62.0
10786590.0,39.0
13172717.0,77.0
12789159.0,1.0
12788789.0,4.0
11177708.0,601.0
10615611.0,214.0
10974164.0,550.0
13487309.0,154.0
13487347.0,486.0
13207991.0,144.0
14007739.0,56.0
11865616.0,418.0
13516017.0,335.0
12749512.0,5.0
11147246.0,1415.0
13907194.0,469.0
